Links,Description,Price
https://www.rightmove.co.uk/properties/120852896#/?channel=RES_BUY,3 bedroom flat for sale,"£1,595,000"
https://www.rightmove.co.uk/properties/121802201#/?channel=RES_BUY,2 bedroom flat for sale,"£900,000"
https://www.rightmove.co.uk/properties/120762626#/?channel=RES_BUY,3 bedroom flat for sale,"£1,595,000"
https://www.rightmove.co.uk/properties/121801310#/?channel=RES_BUY,2 bedroom flat for sale,"£900,000"
https://www.rightmove.co.uk/properties/120869162#/?channel=RES_BUY,3 bedroom flat for sale,"£1,595,000"
https://www.rightmove.co.uk/properties/115828079#/?channel=RES_BUY,2 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/121795787#/?channel=RES_BUY,1 bedroom flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/121795757#/?channel=RES_BUY,1 bedroom flat for sale,"£100,000"
https://www.rightmove.co.uk/properties/121795268#/?channel=RES_BUY,2 bedroom flat for sale,"£799,950"
https://www.rightmove.co.uk/properties/115889270#/?channel=RES_BUY,3 bedroom terraced house for sale,"£1,850,000"
https://www.rightmove.co.uk/properties/121794353#/?channel=RES_BUY,6 bedroom detached house for sale,"£11,500,000"
https://www.rightmove.co.uk/properties/121794008#/?channel=RES_BUY,7 bedroom town house for sale,"£15,950,000"
https://www.rightmove.co.uk/properties/120560207#/?channel=RES_BUY,2 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/117442628#/?channel=RES_BUY,4 bedroom apartment for sale,"£2,400,000"
https://www.rightmove.co.uk/properties/108091613#/?channel=RES_BUY,4 bedroom flat for sale,"£6,300,000"
https://www.rightmove.co.uk/properties/94543781#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,400,000"
https://www.rightmove.co.uk/properties/77785312#/?channel=RES_BUY,2 bedroom flat for sale,"£775,000"
https://www.rightmove.co.uk/properties/121786124#/?channel=RES_BUY,3 bedroom flat for sale,"£775,000"
https://www.rightmove.co.uk/properties/121786052#/?channel=RES_BUY,1 bedroom flat for sale,"£560,000"
https://www.rightmove.co.uk/properties/121785488#/?channel=RES_BUY,3 bedroom penthouse for sale,"£2,100,000"
https://www.rightmove.co.uk/properties/121785479#/?channel=RES_BUY,3 bedroom flat for sale,"£1,800,000"
https://www.rightmove.co.uk/properties/115995251#/?channel=RES_BUY,2 bedroom apartment for sale,"£775,000"
https://www.rightmove.co.uk/properties/121784846#/?channel=RES_BUY,4 bedroom flat for sale,"£1,800,000"
https://www.rightmove.co.uk/properties/119811557#/?channel=RES_BUY,1 bedroom flat for sale,"£750,000"
https://www.rightmove.co.uk/properties/108574298#/?channel=RES_BUY,3 bedroom penthouse for sale,"£3,650,000"
https://www.rightmove.co.uk/properties/121784255#/?channel=RES_BUY,3 bedroom apartment for sale,"£4,995,000"
https://www.rightmove.co.uk/properties/121784240#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,995,000"
https://www.rightmove.co.uk/properties/121784201#/?channel=RES_BUY,3 bedroom apartment for sale,"£1,850,000"
https://www.rightmove.co.uk/properties/121783898#/?channel=RES_BUY,1 bedroom apartment for sale,"£815,000"
https://www.rightmove.co.uk/properties/120512123#/?channel=RES_BUY,8 bedroom end of terrace house for sale,"£1,750,000"
https://www.rightmove.co.uk/properties/121782263#/?channel=RES_BUY,2 bedroom flat for sale,"£1,550,000"
https://www.rightmove.co.uk/properties/121637216#/?channel=RES_BUY,3 bedroom flat for sale,"£1,350,000"
https://www.rightmove.co.uk/properties/121780988#/?channel=RES_BUY,1 bedroom apartment for sale,"£730,000"
https://www.rightmove.co.uk/properties/121780838#/?channel=RES_BUY,2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/108497144#/?channel=RES_BUY,3 bedroom apartment for sale,"£3,650,000"
https://www.rightmove.co.uk/properties/120321974#/?channel=RES_BUY,1 bedroom flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/121214693#/?channel=RES_BUY,2 bedroom flat for sale,"£999,999"
https://www.rightmove.co.uk/properties/121776242#/?channel=RES_BUY,3 bedroom penthouse for sale,POA
https://www.rightmove.co.uk/properties/118875170#/?channel=RES_BUY,3 bedroom apartment for sale,"£10,000,000"
https://www.rightmove.co.uk/properties/110768837#/?channel=RES_BUY,3 bedroom flat for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/121620191#/?channel=RES_BUY,8 bedroom flat for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/121771772#/?channel=RES_BUY,1 bedroom apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/121764824#/?channel=RES_BUY,1 bedroom apartment for sale,"£695,000"
https://www.rightmove.co.uk/properties/104082914#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,380,000"
https://www.rightmove.co.uk/properties/79281087#/?channel=RES_BUY,2 bedroom apartment for sale,"£920,000"
https://www.rightmove.co.uk/properties/117005012#/?channel=RES_BUY,2 bedroom apartment for sale,"£890,000"
https://www.rightmove.co.uk/properties/121759109#/?channel=RES_BUY,1 bedroom apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/121758866#/?channel=RES_BUY,3 bedroom flat for sale,"£2,750,000"
https://www.rightmove.co.uk/properties/121181006#/?channel=RES_BUY,1 bedroom flat for sale,"£725,000"
https://www.rightmove.co.uk/properties/119662856#/?channel=RES_BUY,1 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121758578#/?channel=RES_BUY,1 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/114507707#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,265,000"
https://www.rightmove.co.uk/properties/109093532#/?channel=RES_BUY,2 bedroom maisonette for sale,"£1,095,000"
https://www.rightmove.co.uk/properties/114336881#/?channel=RES_BUY,3 bedroom flat for sale,"£1,575,000"
https://www.rightmove.co.uk/properties/121751612#/?channel=RES_BUY,2 bedroom terraced house for sale,"£1,350,000"
https://www.rightmove.co.uk/properties/121750076#/?channel=RES_BUY,4 bedroom mews house for sale,"£4,395,000"
https://www.rightmove.co.uk/properties/76281843#/?channel=RES_BUY,4 bedroom penthouse for sale,"£9,500,000"
https://www.rightmove.co.uk/properties/84079980#/?channel=RES_BUY,1 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/93728582#/?channel=RES_BUY,3 bedroom flat for sale,"£2,399,950"
https://www.rightmove.co.uk/properties/121744301#/?channel=RES_BUY,1 bedroom flat for sale,"£700,000"
https://www.rightmove.co.uk/properties/121744016#/?channel=RES_BUY,3 bedroom terraced house for sale,"£1,420,000"
https://www.rightmove.co.uk/properties/121743614#/?channel=RES_BUY,2 bedroom flat for sale,"£4,650,000"
https://www.rightmove.co.uk/properties/121742609#/?channel=RES_BUY,3 bedroom flat for sale,"£1,650,000"
https://www.rightmove.co.uk/properties/121740491#/?channel=RES_BUY,3 bedroom mews house for sale,"£1,499,000"
https://www.rightmove.co.uk/properties/121740440#/?channel=RES_BUY,1 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/119205785#/?channel=RES_BUY,4 bedroom terraced house for sale,"£3,450,000"
https://www.rightmove.co.uk/properties/121740161#/?channel=RES_BUY,1 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/84004416#/?channel=RES_BUY,Studio flat for sale,"£300,000"
https://www.rightmove.co.uk/properties/120773864#/?channel=RES_BUY,2 bedroom flat for sale,"£999,999"
https://www.rightmove.co.uk/properties/119796377#/?channel=RES_BUY,2 bedroom flat for sale,"£1,650,000"
https://www.rightmove.co.uk/properties/121731443#/?channel=RES_BUY,4 bedroom apartment for sale,"£1,800,000"
https://www.rightmove.co.uk/properties/119384660#/?channel=RES_BUY,1 bedroom flat for sale,"£2,150,000"
https://www.rightmove.co.uk/properties/121728437#/?channel=RES_BUY,2 bedroom flat for sale,"£1,100,000"
https://www.rightmove.co.uk/properties/121726532#/?channel=RES_BUY,3 bedroom flat for sale,"£900,000"
https://www.rightmove.co.uk/properties/78171384#/?channel=RES_BUY,1 bedroom flat for sale,"£420,000"
https://www.rightmove.co.uk/properties/121726055#/?channel=RES_BUY,3 bedroom flat for sale,"£1,350,000"
https://www.rightmove.co.uk/properties/121737590#/?channel=RES_BUY,2 bedroom flat for sale,"£775,000"
https://www.rightmove.co.uk/properties/121724981#/?channel=RES_BUY,3 bedroom flat for sale,"£2,775,000"
https://www.rightmove.co.uk/properties/121723172#/?channel=RES_BUY,2 bedroom flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/121721558#/?channel=RES_BUY,2 bedroom apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/121720220#/?channel=RES_BUY,9 bedroom terraced house for sale,"£6,500,000"
https://www.rightmove.co.uk/properties/121709018#/?channel=RES_BUY,Studio flat for sale,"£525,000"
https://www.rightmove.co.uk/properties/78884916#/?channel=RES_BUY,2 bedroom flat for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/121378331#/?channel=RES_BUY,1 bedroom flat for sale,"£685,000"
https://www.rightmove.co.uk/properties/110031944#/?channel=RES_BUY,4 bedroom terraced house for sale,"£3,700,000"
https://www.rightmove.co.uk/properties/121704518#/?channel=RES_BUY,4 bedroom flat for sale,"£2,775,000"
https://www.rightmove.co.uk/properties/121704380#/?channel=RES_BUY,2 bedroom flat for sale,"£560,000"
https://www.rightmove.co.uk/properties/121704368#/?channel=RES_BUY,2 bedroom flat for sale,"£1,600,000"
https://www.rightmove.co.uk/properties/121117424#/?channel=RES_BUY,2 bedroom flat for sale,"£1,495,000"
https://www.rightmove.co.uk/properties/121700648#/?channel=RES_BUY,2 bedroom flat for sale,"£1,275,000"
https://www.rightmove.co.uk/properties/115215920#/?channel=RES_BUY,2 bedroom flat for sale,"£1,325,000"
https://www.rightmove.co.uk/properties/119409983#/?channel=RES_BUY,1 bedroom apartment for sale,"£519,000"
https://www.rightmove.co.uk/properties/121700597#/?channel=RES_BUY,5 bedroom terraced house for sale,"£4,950,000"
https://www.rightmove.co.uk/properties/81589206#/?channel=RES_BUY,2 bedroom apartment for sale,"£2,900,000"
https://www.rightmove.co.uk/properties/120960095#/?channel=RES_BUY,2 bedroom flat for sale,"£875,000"
https://www.rightmove.co.uk/properties/107264645#/?channel=RES_BUY,1 bedroom flat for sale,"£420,000"
https://www.rightmove.co.uk/properties/121698455#/?channel=RES_BUY,2 bedroom flat for sale,"£1,175,000"
https://www.rightmove.co.uk/properties/121696697#/?channel=RES_BUY,House for sale,"£4,500,000"
https://www.rightmove.co.uk/properties/121696526#/?channel=RES_BUY,1 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121695947#/?channel=RES_BUY,1 bedroom flat for sale,"£670,000"
https://www.rightmove.co.uk/properties/121694453#/?channel=RES_BUY,1 bedroom apartment for sale,"£425,000"
https://www.rightmove.co.uk/properties/121694129#/?channel=RES_BUY,3 bedroom maisonette for sale,"£1,400,000"
https://www.rightmove.co.uk/properties/121693967#/?channel=RES_BUY,2 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121692824#/?channel=RES_BUY,3 bedroom apartment for sale,"£1,600,000"
https://www.rightmove.co.uk/properties/121692005#/?channel=RES_BUY,2 bedroom end of terrace house for sale,"£850,000"
https://www.rightmove.co.uk/properties/121691975#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/121690001#/?channel=RES_BUY,3 bedroom flat for sale,"£1,395,000"
https://www.rightmove.co.uk/properties/121251518#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,000,000"
https://www.rightmove.co.uk/properties/121685258#/?channel=RES_BUY,1 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/121685234#/?channel=RES_BUY,2 bedroom apartment for sale,"£489,999"
https://www.rightmove.co.uk/properties/121683734#/?channel=RES_BUY,2 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/121683062#/?channel=RES_BUY,3 bedroom apartment for sale,"£1,550,000"
https://www.rightmove.co.uk/properties/121681511#/?channel=RES_BUY,2 bedroom apartment for sale,"£565,000"
https://www.rightmove.co.uk/properties/121680389#/?channel=RES_BUY,2 bedroom flat for sale,"£990,000"
https://www.rightmove.co.uk/properties/119799680#/?channel=RES_BUY,2 bedroom flat for sale,"£800,000"
https://www.rightmove.co.uk/properties/121378331#/?channel=RES_BUY,1 bedroom flat for sale,"£685,000"
https://www.rightmove.co.uk/properties/120463715#/?channel=RES_BUY,2 bedroom flat for sale,"£545,000"
https://www.rightmove.co.uk/properties/121677095#/?channel=RES_BUY,2 bedroom flat for sale,"£795,000"
https://www.rightmove.co.uk/properties/121676978#/?channel=RES_BUY,1 bedroom flat for sale,"£1,200,000"
https://www.rightmove.co.uk/properties/121673336#/?channel=RES_BUY,2 bedroom flat for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/108244385#/?channel=RES_BUY,2 bedroom flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/116993720#/?channel=RES_BUY,3 bedroom mews house for sale,"£1,995,000"
https://www.rightmove.co.uk/properties/121641185#/?channel=RES_BUY,2 bedroom apartment for sale,"£2,180,000"
https://www.rightmove.co.uk/properties/121641245#/?channel=RES_BUY,3 bedroom apartment for sale,"£6,350,000"
https://www.rightmove.co.uk/properties/121640849#/?channel=RES_BUY,2 bedroom apartment for sale,"£4,030,000"
https://www.rightmove.co.uk/properties/121641002#/?channel=RES_BUY,4 bedroom apartment for sale,"£2,679,000"
https://www.rightmove.co.uk/properties/121640855#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,575,000"
https://www.rightmove.co.uk/properties/121641128#/?channel=RES_BUY,1 bedroom flat for sale,"£1,000,000"
https://www.rightmove.co.uk/properties/121641038#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,825,625"
https://www.rightmove.co.uk/properties/121641188#/?channel=RES_BUY,2 bedroom apartment for sale,"£2,625,000"
https://www.rightmove.co.uk/properties/121641113#/?channel=RES_BUY,2 bedroom flat for sale,"£6,449,000"
https://www.rightmove.co.uk/properties/121640858#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,850,000"
https://www.rightmove.co.uk/properties/121641140#/?channel=RES_BUY,3 bedroom flat for sale,"£3,495,000"
https://www.rightmove.co.uk/properties/121641200#/?channel=RES_BUY,3 bedroom penthouse for sale,"£5,875,000"
https://www.rightmove.co.uk/properties/121641041#/?channel=RES_BUY,1 bedroom apartment for sale,"£1,274,583"
https://www.rightmove.co.uk/properties/121641227#/?channel=RES_BUY,4 bedroom flat for sale,"£65,000,000"
https://www.rightmove.co.uk/properties/121640837#/?channel=RES_BUY,1 bedroom apartment for sale,"£1,400,000"
https://www.rightmove.co.uk/properties/121641167#/?channel=RES_BUY,1 bedroom apartment for sale,"£1,552,000"
https://www.rightmove.co.uk/properties/121640999#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,494,000"
https://www.rightmove.co.uk/properties/121641104#/?channel=RES_BUY,1 bedroom flat for sale,"£3,199,000"
https://www.rightmove.co.uk/properties/121724423#/?channel=RES_BUY,3 bedroom flat for sale,"£1,995,000"
https://www.rightmove.co.uk/properties/121641086#/?channel=RES_BUY,1 bedroom flat for sale,"£2,690,000"
https://www.rightmove.co.uk/properties/121641053#/?channel=RES_BUY,1 bedroom apartment for sale,"£1,439,063"
https://www.rightmove.co.uk/properties/121641137#/?channel=RES_BUY,3 bedroom flat for sale,"£2,350,000"
https://www.rightmove.co.uk/properties/121641020#/?channel=RES_BUY,2 bedroom flat for sale,"£4,449,000"
https://www.rightmove.co.uk/properties/121641221#/?channel=RES_BUY,3 bedroom flat for sale,"£3,100,000"
https://www.rightmove.co.uk/properties/121641092#/?channel=RES_BUY,1 bedroom flat for sale,"£2,693,000"
https://www.rightmove.co.uk/properties/121640840#/?channel=RES_BUY,3 bedroom apartment for sale,"£10,450,000"
https://www.rightmove.co.uk/properties/121640900#/?channel=RES_BUY,7 bedroom detached house for sale,"£32,000,000"
https://www.rightmove.co.uk/properties/121670348#/?channel=RES_BUY,2 bedroom flat for sale,"£1,380,000"
https://www.rightmove.co.uk/properties/121670273#/?channel=RES_BUY,2 bedroom flat for sale,"£3,200,000"
https://www.rightmove.co.uk/properties/121670240#/?channel=RES_BUY,1 bedroom terraced house for sale,"£600,000"
https://www.rightmove.co.uk/properties/121670234#/?channel=RES_BUY,1 bedroom flat for sale,"£1,350,000"
https://www.rightmove.co.uk/properties/120171839#/?channel=RES_BUY,2 bedroom flat for sale,"£895,000"
https://www.rightmove.co.uk/properties/121668824#/?channel=RES_BUY,2 bedroom apartment for sale,"£995,000"
https://www.rightmove.co.uk/properties/120060443#/?channel=RES_BUY,1 bedroom apartment for sale,"£485,000"
https://www.rightmove.co.uk/properties/121669049#/?channel=RES_BUY,1 bedroom flat for sale,"£750,000"
https://www.rightmove.co.uk/properties/119807378#/?channel=RES_BUY,2 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/121663865#/?channel=RES_BUY,1 bedroom apartment for sale,"£895,000"
https://www.rightmove.co.uk/properties/117545771#/?channel=RES_BUY,4 bedroom apartment for sale,"£1,250,000"
https://www.rightmove.co.uk/properties/74527524#/?channel=RES_BUY,1 bedroom apartment for sale,"£3,173,000"
https://www.rightmove.co.uk/properties/121653032#/?channel=RES_BUY,2 bedroom apartment for sale,"£2,100,000"
https://www.rightmove.co.uk/properties/121652597#/?channel=RES_BUY,Studio flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/120688706#/?channel=RES_BUY,1 bedroom flat for sale,"£580,000"
https://www.rightmove.co.uk/properties/121651640#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,325,000"
https://www.rightmove.co.uk/properties/107000762#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,500,000"
https://www.rightmove.co.uk/properties/114573431#/?channel=RES_BUY,1 bedroom terraced house for sale,"£650,000"
https://www.rightmove.co.uk/properties/121517753#/?channel=RES_BUY,2 bedroom flat for sale,"£2,200,000"
https://www.rightmove.co.uk/properties/121645520#/?channel=RES_BUY,2 bedroom flat for sale,"£2,750,000"
https://www.rightmove.co.uk/properties/121645301#/?channel=RES_BUY,1 bedroom apartment for sale,"£925,000"
https://www.rightmove.co.uk/properties/121643786#/?channel=RES_BUY,4 bedroom terraced house for sale,"£3,750,000"
https://www.rightmove.co.uk/properties/121643306#/?channel=RES_BUY,1 bedroom flat for sale,"£625,000"
https://www.rightmove.co.uk/properties/121642796#/?channel=RES_BUY,2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/121642763#/?channel=RES_BUY,2 bedroom apartment for sale,"£425,000"
https://www.rightmove.co.uk/properties/121642673#/?channel=RES_BUY,1 bedroom apartment for sale,"£399,950"
https://www.rightmove.co.uk/properties/121640951#/?channel=RES_BUY,1 bedroom flat for sale,"£560,000"
https://www.rightmove.co.uk/properties/121637531#/?channel=RES_BUY,4 bedroom terraced house for sale,"£6,250,000"
https://www.rightmove.co.uk/properties/120639707#/?channel=RES_BUY,2 bedroom flat for sale,"£995,000"
https://www.rightmove.co.uk/properties/79585500#/?channel=RES_BUY,2 bedroom flat for sale,"£599,950"
https://www.rightmove.co.uk/properties/114558776#/?channel=RES_BUY,1 bedroom flat for sale,"£483,000"
https://www.rightmove.co.uk/properties/114866765#/?channel=RES_BUY,2 bedroom mews house for sale,"£2,275,000"
https://www.rightmove.co.uk/properties/121633982#/?channel=RES_BUY,4 bedroom terraced house for sale,"£6,250,000"
https://www.rightmove.co.uk/properties/81528723#/?channel=RES_BUY,Studio flat for sale,"£195,000"
https://www.rightmove.co.uk/properties/119640599#/?channel=RES_BUY,1 bedroom apartment for sale,"£595,000"
https://www.rightmove.co.uk/properties/120255275#/?channel=RES_BUY,1 bedroom flat for sale,"£750,000"
https://www.rightmove.co.uk/properties/118490318#/?channel=RES_BUY,2 bedroom flat for sale,"£799,999"
https://www.rightmove.co.uk/properties/121627406#/?channel=RES_BUY,1 bedroom flat for sale,"£775,000"
https://www.rightmove.co.uk/properties/118677713#/?channel=RES_BUY,2 bedroom flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/121625831#/?channel=RES_BUY,2 bedroom apartment for sale,"£815,000"
https://www.rightmove.co.uk/properties/121624994#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,100,000"
https://www.rightmove.co.uk/properties/121771772#/?channel=RES_BUY,1 bedroom apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/91027795#/?channel=RES_BUY,3 bedroom terraced house for sale,"£2,550,000"
https://www.rightmove.co.uk/properties/115796255#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,350,000"
https://www.rightmove.co.uk/properties/121620500#/?channel=RES_BUY,2 bedroom flat for sale,"£935,000"
https://www.rightmove.co.uk/properties/121620458#/?channel=RES_BUY,3 bedroom flat for sale,"£2,100,000"
https://www.rightmove.co.uk/properties/121620191#/?channel=RES_BUY,8 bedroom flat for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/121619075#/?channel=RES_BUY,1 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/121618187#/?channel=RES_BUY,3 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/120240563#/?channel=RES_BUY,2 bedroom penthouse for sale,"£950,000"
https://www.rightmove.co.uk/properties/121607576#/?channel=RES_BUY,4 bedroom apartment for sale,"£1,950,000"
https://www.rightmove.co.uk/properties/121604573#/?channel=RES_BUY,3 bedroom flat for sale,"£1,500,000"
