Links,Description,Price
https://www.rightmove.co.uk/properties/121748999#/?channel=RES_BUY,1 bedroom flat for sale,"£413,000"
https://www.rightmove.co.uk/properties/121747118#/?channel=RES_BUY,2 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/121746878#/?channel=RES_BUY,2 bedroom apartment for sale,"£620,000"
https://www.rightmove.co.uk/properties/121746308#/?channel=RES_BUY,1 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/121743575#/?channel=RES_BUY,2 bedroom apartment for sale,"£875,000"
https://www.rightmove.co.uk/properties/120754484#/?channel=RES_BUY,2 bedroom apartment for sale,"£455,000"
https://www.rightmove.co.uk/properties/121061177#/?channel=RES_BUY,2 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/121740365#/?channel=RES_BUY,1 bedroom flat for sale,"£375,000"
https://www.rightmove.co.uk/properties/121740359#/?channel=RES_BUY,2 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/121740164#/?channel=RES_BUY,3 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/121736393#/?channel=RES_BUY,1 bedroom apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/120411809#/?channel=RES_BUY,3 bedroom flat for sale,"£700,000"
https://www.rightmove.co.uk/properties/120578951#/?channel=RES_BUY,2 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121734818#/?channel=RES_BUY,1 bedroom penthouse for sale,"£550,000"
https://www.rightmove.co.uk/properties/120882491#/?channel=RES_BUY,2 bedroom apartment for sale,"£730,000"
https://www.rightmove.co.uk/properties/121036949#/?channel=RES_BUY,1 bedroom apartment for sale,"£385,000"
https://www.rightmove.co.uk/properties/121732007#/?channel=RES_BUY,2 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/121731545#/?channel=RES_BUY,1 bedroom apartment for sale,"£400,000"
https://www.rightmove.co.uk/properties/121195904#/?channel=RES_BUY,1 bedroom apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/121727534#/?channel=RES_BUY,3 bedroom ground maisonette for sale,"£425,000"
https://www.rightmove.co.uk/properties/121726865#/?channel=RES_BUY,2 bedroom apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/121725818#/?channel=RES_BUY,3 bedroom duplex for sale,"£475,000"
https://www.rightmove.co.uk/properties/116271716#/?channel=RES_BUY,3 bedroom apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/121724507#/?channel=RES_BUY,2 bedroom apartment for sale,"£675,000"
https://www.rightmove.co.uk/properties/121724345#/?channel=RES_BUY,2 bedroom apartment for sale,"£590,000"
https://www.rightmove.co.uk/properties/121724231#/?channel=RES_BUY,1 bedroom apartment for sale,"£415,000"
https://www.rightmove.co.uk/properties/119404466#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,400,000"
https://www.rightmove.co.uk/properties/121723148#/?channel=RES_BUY,1 bedroom flat for sale,"£310,000"
https://www.rightmove.co.uk/properties/118167434#/?channel=RES_BUY,3 bedroom town house for sale,"£695,000"
